name,type,majax,minax,posang,surfbr,hubble,messier,common
NGC839,G,1.49,0.64,86,23.51,S0-a,,
NGC840,G,1.74,0.78,77,23.68,Sb,,
NGC841,G,1.74,0.87,134,22.93,Sab,,
NGC842,G,1.74,0.85,157,23.54,S0,,
NGC844,G,0.49,0.38,45,,,,
NGC845,G,1.63,0.33,148,23.10,Sb,,
NGC846,G,1.92,1.68,129,23.16,SBab,,
NGC848,G,1.36,1.05,147,22.90,SBab,,
NGC849,G,0.59,0.44,104,23.03,S0,,
NGC850,G,1.22,1.00,92,23.23,S0-a,,
NGC851,G,1.14,0.66,135,23.62,S0-a,,
NGC852,G,1.36,1.00,90,23.28,SBbc,,
NGC853,G,1.80,1.17,50,25.50,Sm,,
NGC854,G,2.00,0.72,2,23.18,SBc,,
NGC855,G,2.94,1.08,67,24.41,E,,
NGC856,G,1.19,0.94,17,23.21,Sa,,
NGC857,G,1.58,1.34,89,23.23,S0,,
NGC858,G,1.26,1.01,140,23.36,Sc,,
NGC860,G,0.63,0.52,109,23.04,E,,
NGC861,G,1.48,0.42,36,23.48,Sb,,
NGC862,G,1.04,0.97,70,22.80,E,,
NGC863,G,1.27,1.15,35,23.14,Sa,,
NGC864,G,3.72,2.57,21,22.91,SABc,,
NGC865,G,1.62,0.27,159,22.41,Sbc,,
NGC867,G,1.24,1.11,85,23.30,S0-a,,
NGC868,G,0.79,0.54,111,23.69,E-S0,,
NGC869,OCl,14.40,,,,,,h Persei Cluster
NGC870,G,0.37,0.34,105,22.98,,,
NGC871,G,1.01,0.33,4,22.02,SBc,,
NGC872,G,1.77,0.55,175,23.51,SBc,,
NGC873,G,1.48,1.07,146,22.49,Sc,,
NGC874,G,1.01,0.48,175,23.42,Sab,,
NGC876,G,1.32,0.38,26,24.32,Sc,,
NGC877,G,1.92,1.47,138,22.47,SABc,,
NGC878,G,0.87,0.53,110,22.94,Sa,,
NGC879,G,0.77,0.64,16,23.38,I,,
NGC880,G,0.58,0.38,26,22.92,S?,,
NGC881,G,2.28,1.26,133,23.27,SABc,,
NGC882,G,1.13,0.48,83,23.92,S0,,
NGC883,G,1.57,1.40,77,23.33,E-S0,,
NGC884,OCl,10.50,,,,,,chi Persei Cluster
NGC886,OCl,4.80,,,,,,
NGC887,G,1.66,1.34,21,23.04,SABc,,
NGC888,G,1.16,0.90,85,23.67,E,,
NGC889,G,1.24,0.89,98,23.89,E,,
NGC890,G,1.10,0.67,45,21.77,E-S0,,
NGC891,G,13.03,3.03,22,24.17,Sb,,
NGC892,G,0.72,0.40,5,23.30,Sab,,
NGC893,G,1.34,0.83,123,22.54,Sc,,
NGC895,G,3.32,2.22,109,23.30,Sc,,
NGC896,Neb,10.00,10.00,,,,,
NGC897,G,2.01,1.43,25,22.90,Sa,,
NGC898,G,1.75,0.47,170,22.99,Sab,,
NGC899,G,1.63,1.21,121,22.63,IB,,
NGC900,G,0.92,0.62,36,23.56,S0,,
NGC901,G,0.78,0.55,36,23.97,E,,
NGC902,G,0.74,0.55,26,22.66,SBbc,,
NGC903,G,0.74,0.40,168,24.50,,,
NGC904,G,1.45,0.85,129,24.54,E,,
NGC905,G,0.61,0.30,114,23.36,S0-a,,
NGC906,G,1.46,1.01,16,23.12,Sab,,
NGC907,G,2.21,0.75,87,22.69,SBd,,
NGC908,G,6.14,2.82,77,22.86,SABc,,
NGC909,G,1.02,1.02,40,23.42,E,,
NGC910,G,1.79,1.51,17,23.40,E,,
NGC911,G,1.69,0.84,115,23.91,E,,
NGC912,G,0.79,0.60,147,23.20,S0-a,,
NGC913,G,0.61,0.33,20,,,,
NGC914,G,1.56,1.04,116,23.18,Sc,,
NGC915,G,0.76,0.76,160,23.48,E,,
NGC916,G,1.18,0.53,9,24.16,S0-a,,
NGC917,G,1.77,0.99,57,23.86,Sab,,
NGC918,G,3.09,1.73,157,23.80,Sc,,
NGC919,G,1.31,0.32,138,23.89,Sab,,
NGC920,G,1.17,0.85,3,24.25,SBb,,
NGC921,G,1.25,0.53,82,23.53,SBc,,
NGC922,G,2.10,1.77,14,22.60,SBc,,
NGC923,G,0.78,0.55,120,22.32,SABb,,
NGC924,G,2.03,1.18,52,23.99,S0,,
NGC925,G,10.72,5.75,107,23.94,Scd,,
NGC926,G,1.75,0.78,39,23.36,Sbc,,
NGC927,G,1.18,1.02,0,23.38,SBc,,
NGC928,G,0.90,0.54,45,23.11,Sa,,
NGC929,G,0.88,0.40,171,23.13,Sa,,
NGC931,G,2.45,0.69,75,24.17,Sbc,,
NGC932,G,2.00,1.85,145,23.96,Sa,,
NGC933,G,1.84,0.96,37,24.86,Sbc,,
NGC934,G,1.14,0.80,127,23.30,E-S0,,
NGC935,G,1.58,0.98,155,23.14,Sc,,
NGC936,G,4.44,3.18,133,23.14,S0-a,,
NGC937,G,0.89,0.35,115,22.82,Sc,,
NGC938,G,1.55,1.14,97,23.56,E,,
NGC939,G,1.66,1.16,100,23.97,E,,
NGC940,G,1.64,1.15,20,23.15,S0,,
NGC941,G,1.87,1.33,171,22.85,SABc,,
NGC942,G,1.78,0.87,2,24.37,S0,,
NGC943,G,1.55,0.95,26,24.03,S0-a,,
NGC944,G,1.01,0.37,18,23.67,S0-a,,
NGC945,G,2.06,1.82,170,23.01,SBc,,
NGC946,G,1.42,0.84,66,23.97,S0,,
NGC947,G,2.14,1.15,59,23.08,SABc,,
NGC948,G,1.17,0.96,30,23.07,Sc,,
NGC949,G,3.10,1.35,144,23.07,Sb,,
NGC950,G,1.18,0.63,47,23.23,SBb,,
NGC951,G,1.08,0.54,22,23.90,SBab,,
NGC953,G,1.47,1.19,14,24.09,E,,
NGC954,G,1.79,0.94,16,23.05,SBc,,
NGC955,G,2.72,0.88,20,23.18,Sab,,
NGC956,OCl,4.50,,,,,,
NGC957,OCl,10.20,,,,,,
NGC958,G,2.51,0.72,2,22.65,SBc,,
NGC959,G,1.87,1.11,67,22.61,Sd,,
NGC960,G,1.23,0.32,125,23.15,SABb,,
NGC961,G,1.81,1.04,96,22.97,Sm,,
NGC962,G,1.46,1.03,178,23.71,E-S0,,
NGC963,G,0.80,0.79,110,22.54,I,,
NGC964,G,2.18,0.50,33,23.14,Sab,,
NGC965,G,0.94,0.77,173,23.25,SBc,,
NGC966,G,1.13,0.95,107,22.89,E-S0,,
